epoch,train_loss,valid_loss,accuracy
1,2.881558,2.790402,0.465847
2,2.824942,2.732005,0.471660
3,2.758845,2.672040,0.478273
4,2.715069,2.602380,0.489159
5,2.677029,2.553575,0.494752
6,2.602514,2.476142,0.507337
7,2.564386,2.388670,0.518902
8,2.470835,2.304033,0.532000
9,2.366890,2.243269,0.542781
10,2.390439,2.223538,0.546622
