epoch,train_loss,valid_loss,accuracy
1,2.800884,2.846799,0.451798
2,2.734207,2.787458,0.456514
3,2.616860,2.768967,0.461435
4,2.613407,2.704257,0.470743
5,2.556824,2.646706,0.477775
6,2.475228,2.564679,0.489576
7,2.443874,2.498937,0.500346
8,2.354404,2.434453,0.509250
9,2.365026,2.381859,0.518118
10,2.314888,2.362454,0.521845
