epoch,train_loss,valid_loss,accuracy
1,2.851575,3.398695,0.372940
2,2.801543,3.353015,0.372648
3,2.807216,3.290132,0.380787
4,2.696361,3.220115,0.388937
5,2.668488,3.132770,0.399528
6,2.565685,3.062742,0.408880
7,2.503054,2.985069,0.419262
8,2.448338,2.895266,0.431797
9,2.411213,2.829787,0.441973
10,2.403536,2.811063,0.445468
